id,title,meetingNumber,content,subjectId,pinned,order,createdAt,updatedAt
cmma0j3n2000188klyh190w67,Vektor vs Raster,3,"{""type"":""doc"",""content"":[{""type"":""paragraph"",""attrs"":{""textAlign"":null},""content"":[{""type"":""text"",""text"":""{\""type\"":\""doc\"",\""content\"":[{\""type\"":\""heading\"",\""attrs\"":{\""textAlign\"":null,\""level\"":3},\""content\"":[{\""type\"":\""text\"",\""text\"":\""Vektor\""},{\""type\"":\""paragraph\"",\""attrs\"":{\""textAlign\"":null},\""content\"":[{\""type\"":\""text\"",\""text\"":\""data vektor merepresentasikan objek geografis menggunakan kordinat diskrit (x, y) yang saling terhubung.\""},{\""type\"":\""paragraph\"",\""attrs\"":{\""textAlign\"":null},\""content\"":[{\""type\"":\""text\"",\""text\"":\""format file umum:\""},{\""type\"":\""bulletList\"",\""content\"":[{\""type\"":\""listItem\"",\""content\"":[{\""type\"":\""paragraph\"",\""attrs\"":{\""textAlign\"":null},\""content\"":[{\""type\"":\""text\"",\""text\"":\"".shp\""},{\""type\"":\""listItem\"",\""content\"":[{\""type\"":\""paragraph\"",\""attrs\"":{\""textAlign\"":null},\""content\"":[{\""type\"":\""text\"",\""text\"":\"".kml / .kmz\""},{\""type\"":\""listItem\"",\""content\"":[{\""type\"":\""paragraph\"",\""attrs\"":{\""textAlign\"":null},\""content\"":[{\""type\"":\""text\"",\""text\"":\"".geojson\""}]}]}]}]},{\""type\"":\""paragraph\"",\""attrs\"":{\""textAlign\"":null},\""content\"":[{\""type\"":\""text\"",\""text\"":\""elemen dasar vektor:\""},{\""type\"":\""bulletList\"",\""content\"":[{\""type\"":\""listItem\"",\""content\"":[{\""type\"":\""paragraph\"",\""attrs\"":{\""textAlign\"":null},\""content\"":[{\""type\"":\""text\"",\""text\"":\""Point (titik)\""},{\""type\"":\""listItem\"",\""content\"":[{\""type\"":\""paragraph\"",\""attrs\"":{\""textAlign\"":null},\""content\"":[{\""type\"":\""text\"",\""text\"":\""Line (garis)\""},{\""type\"":\""listItem\"",\""content\"":[{\""type\"":\""paragraph\"",\""attrs\"":{\""textAlign\"":null},\""content\"":[{\""type\"":\""text\"",\""text\"":\""Polygon (area)\""}]}]}]}]},{\""type\"":\""paragraph\"",\""attrs\"":{\""textAlign\"":null},\""content\"":[{\""type\"":\""text\"",\""text\"":\""dalam geojson, urutan penulisan kordinate adalah [longitude, latitude]\""},{\""type\"":\""paragraph\"",\""attrs\"":{\""textAlign\"":null},\""content\"":[{\""type\"":\""text\"",\""text\"":\""komponen wajib geojson feature:\""},{\""type\"":\""bulletList\"",\""content\"":[{\""type\"":\""listItem\"",\""content\"":[{\""type\"":\""paragraph\"",\""attrs\"":{\""textAlign\"":null},\""content\"":[{\""type\"":\""text\"",\""text\"":\""type\""},{\""type\"":\""listItem\"",\""content\"":[{\""type\"":\""paragraph\"",\""attrs\"":{\""textAlign\"":null},\""content\"":[{\""type\"":\""text\"",\""text\"":\""geometry\""},{\""type\"":\""listItem\"",\""content\"":[{\""type\"":\""paragraph\"",\""attrs\"":{\""textAlign\"":null},\""content\"":[{\""type\"":\""text\"",\""text\"":\""properties\""}]}]}]}]},{\""type\"":\""heading\"",\""attrs\"":{\""textAlign\"":null,\""level\"":3},\""content\"":[{\""type\"":\""text\"",\""text\"":\""Raster\""},{\""type\"":\""paragraph\"",\""attrs\"":{\""textAlign\"":null},\""content\"":[{\""type\"":\""text\"",\""text\"":\""data raster diambil menggunakan foto melalui satelit, hal itu memungkinkan raster mengetahui tinggi rendahnya medan serta suhu.\""},{\""type\"":\""paragraph\"",\""attrs\"":{\""textAlign\"":null},\""content\"":[{\""type\"":\""text\"",\""text\"":\""resolusi spesial raster adalah definisi luas area di permukaan bumi yang diwakili oleh satu pixel.\""}]}]}]}]}""}]}]}",cmm00t6490001m4kl70fgmap5,0,13,2026-03-03T02:52:54.444Z,2026-03-03T03:26:30.034Z
cmmbkqfgs00011kklgszajrx8,Mengapa Penelitian Penting,2,"{""type"":""doc"",""content"":[{""type"":""paragraph"",""attrs"":{""textAlign"":null},""content"":[{""type"":""text"",""text"":""{\""type\"":\""doc\"",\""content\"":[{\""type\"":\""paragraph\"",\""attrs\"":{\""textAlign\"":null},\""content\"":[{\""type\"":\""text\"",\""text\"":\""Tujuan Penelitian:\""},{\""type\"":\""bulletList\"",\""content\"":[{\""type\"":\""listItem\"",\""content\"":[{\""type\"":\""paragraph\"",\""attrs\"":{\""textAlign\"":null},\""content\"":[{\""type\"":\""text\"",\""text\"":\""Menyelesaikan Masalah\""},{\""type\"":\""listItem\"",\""content\"":[{\""type\"":\""paragraph\"",\""attrs\"":{\""textAlign\"":null},\""content\"":[{\""type\"":\""text\"",\""text\"":\""Meningkatkan Keefektifan\""},{\""type\"":\""listItem\"",\""content\"":[{\""type\"":\""paragraph\"",\""attrs\"":{\""textAlign\"":null},\""content\"":[{\""type\"":\""text\"",\""text\"":\""Mengembangkan Teknologi\""}]}]}]},{\""type\"":\""paragraph\"",\""attrs\"":{\""textAlign\"":null},\""content\"":[{\""type\"":\""text\"",\""text\"":\""Research: Kenapa?, Bagaimana?, Bagaimana jika?\""},{\""type\"":\""paragraph\"",\""attrs\"":{\""textAlign\"":null},\""content\"":[{\""type\"":\""text\"",\""text\"":\""Development: bagaimana cara kita mengimplementasikannya?\""}]}]}]}]}""}]}]}",cmmbkprov00001kklmdhapbui,0,14,2026-03-04T05:06:14.859Z,2026-04-01T04:04:37.738Z
cmmbl0dxh00021kklrmy5bcjp,Histogram Warna,3,"{""type"":""doc"",""content"":[{""type"":""paragraph"",""attrs"":{""textAlign"":null},""content"":[{""type"":""text"",""text"":""{\""type\"":\""doc\"",\""content\"":[{\""type\"":\""paragraph\"",\""attrs\"":{\""textAlign\"":null},\""content\"":[{\""type\"":\""text\"",\""text\"":\""cara membaca histogram warna: kordinat x adalah nilai intensitas warna, kordinat y adalah jumlah pixel yang menggunakan warna tersebut.\""},{\""type\"":\""paragraph\"",\""attrs\"":{\""textAlign\"":null}}]}]}""}]}]}",cmm5v4a680000csklypek9mk9,0,15,2026-03-04T05:13:59.428Z,2026-03-04T05:22:09.797Z
cmmju4nyt0000bkkl8qmbrfwe,Algoritma Garis,4,"{""type"":""doc"",""content"":[{""type"":""paragraph"",""attrs"":{""textAlign"":null},""content"":[{""type"":""text"",""text"":""{\""type\"":\""doc\"",\""content\"":[{\""type\"":\""paragraph\"",\""attrs\"":{\""textAlign\"":null},\""content\"":[{\""type\"":\""text\"",\""text\"":\""m = (y2 - y2) / (x2 - x1)\""},{\""type\"":\""paragraph\"",\""attrs\"":{\""textAlign\"":null},\""content\"":[{\""type\"":\""text\"",\""text\"":\""m = gradien\""},{\""type\"":\""paragraph\"",\""attrs\"":{\""textAlign\"":null},\""content\"":[{\""type\"":\""text\"",\""text\"":\""gradien adalah kemiringan garis\""}]}]}]}""}]}]}",cmm5xyhxt0000nsklv2wsy9rn,0,16,2026-03-09T23:51:25.010Z,2026-03-10T00:14:59.480Z
cmmk0rjkx00011gklsuto8nbj,,4,"{""type"":""doc"",""content"":[{""type"":""paragraph"",""attrs"":{""textAlign"":null}}]}",cmm00t6490001m4kl70fgmap5,0,17,2026-03-10T02:57:10.110Z,2026-03-11T02:55:21.970Z
cmmknuhf7000068klbu9bp9jw,Web Scraping,3,"{""type"":""doc"",""content"":[{""type"":""paragraph"",""attrs"":{""textAlign"":null}}]}",cmm8ojctv0000zoklh0mss6v7,0,18,2026-03-10T13:43:18.451Z,2026-03-11T02:55:12.932Z
cmmlg5jwb0000a4klmg6t2fxi,Research Gap,3,"{""type"":""doc"",""content"":[{""type"":""paragraph"",""attrs"":{""textAlign"":null},""content"":[{""type"":""text"",""text"":""{\""type\"":\""doc\"",\""content\"":[{\""type\"":\""paragraph\"",\""attrs\"":{\""textAlign\"":null},\""content\"":[{\""type\"":\""text\"",\""text\"":\""research gap adalah suatu masalah yang belum ada yang menemukannya atau membuatnya.\""},{\""type\"":\""paragraph\"",\""attrs\"":{\""textAlign\"":null},\""content\"":[{\""type\"":\""text\"",\""text\"":\""literatur review adalah membaca peneltitian orang lain terlebih dahuku.\""},{\""type\"":\""paragraph\"",\""attrs\"":{\""textAlign\"":null},\""content\"":[{\""type\"":\""text\"",\""text\"":\""cara mengetahui apakah penelitian itu penting atau tidak dengan cata melihat literatur apakah sudah ada yang meniliti.\""},{\""type\"":\""paragraph\"",\""attrs\"":{\""textAlign\"":null},\""content\"":[{\""type\"":\""text\"",\""text\"":\""future work adalah penelitian yang belum dibuat pada sebuah jurnal, biasanya pada bagian batasan penelitian.\""}]}]}]}]}""}]}]}",cmmbkprov00001kklmdhapbui,0,19,2026-03-11T02:55:44.123Z,2026-04-01T04:04:45.581Z
cmmlmqyda0001dwklp179m2hx,,4,"{""type"":""doc"",""content"":[{""type"":""paragraph"",""attrs"":{""textAlign"":null}}]}",cmm5v4a680000csklypek9mk9,0,20,2026-03-11T06:00:20.350Z,2026-03-11T06:00:23.134Z
cmne1l0780000x0klqhz34lik,,5,"{""type"":""doc"",""content"":[{""type"":""paragraph"",""attrs"":{""textAlign"":null}}]}",cmm00t6490001m4kl70fgmap5,0,21,2026-03-31T03:13:09.955Z,2026-03-31T03:13:12.515Z
cmnfh0cn10000poklzvbua7tv,State Of The Art (SOTA),4,"{""type"":""doc"",""content"":[{""type"":""paragraph"",""attrs"":{""textAlign"":null},""content"":[{""type"":""text"",""text"":""{\""type\"":\""doc\"",\""content\"":[{\""type\"":\""paragraph\"",\""attrs\"":{\""textAlign\"":null},\""content\"":[{\""type\"":\""text\"",\""text\"":\""SotA adalah perkembangan penelitian paling terbaru untuk menghindari duplikat.\""}]}]}""}]}]}",cmmbkprov00001kklmdhapbui,0,22,2026-04-01T03:12:46.321Z,2026-04-05T04:10:40.199Z
cmno5s4yk0000twkl1krfi7kc,Text Mining,4,"{""type"":""doc"",""content"":[{""type"":""paragraph"",""attrs"":{""textAlign"":null},""content"":[{""type"":""text"",""text"":""{\""type\"":\""doc\"",\""content\"":[{\""type\"":\""paragraph\"",\""attrs\"":{\""textAlign\"":null},\""content\"":[{\""type\"":\""text\"",\""text\"":\""data text yang harus diambil harus dari situs resmi\""},{\""type\"":\""paragraph\"",\""attrs\"":{\""textAlign\"":null},\""content\"":[{\""type\"":\""text\"",\""text\"":\""komentar merupakan ekspresi paling jujur dibanding dengan survey\""},{\""type\"":\""paragraph\"",\""attrs\"":{\""textAlign\"":null},\""content\"":[{\""type\"":\""text\"",\""text\"":\""ekstraksi memiliki peran yang sangat penting\""},{\""type\"":\""paragraph\"",\""attrs\"":{\""textAlign\"":null},\""content\"":[{\""type\"":\""text\"",\""text\"":\""genetic algotithm berfugnsi untuk mengurangi kolom yang tidak diperlukan\""}]}]}]}]}""}]}]}",cmm8ojctv0000zoklh0mss6v7,0,23,2026-04-07T05:08:22.936Z,2026-04-07T05:48:05.956Z
cmnph3t0z0000s4klr6dtpctr,Metode Penelitian (Prosedur Penelitian),5,"{""type"":""doc"",""content"":[{""type"":""paragraph"",""attrs"":{""textAlign"":null},""content"":[{""type"":""text"",""text"":""{\""type\"":\""doc\"",\""content\"":[{\""type\"":\""paragraph\"",\""attrs\"":{\""textAlign\"":null},\""content\"":[{\""type\"":\""text\"",\""text\"":\""Prosedur Peneletian adalah langkah langkah dan bagaimana cara mengimplementasikannya.\""},{\""type\"":\""paragraph\"",\""attrs\"":{\""textAlign\"":null},\""content\"":[{\""type\"":\""text\"",\""text\"":\""2.3 Prosedur Penelitian\""},{\""type\"":\""bulletList\"",\""content\"":[{\""type\"":\""listItem\"",\""content\"":[{\""type\"":\""paragraph\"",\""attrs\"":{\""textAlign\"":null},\""content\"":[{\""type\"":\""text\"",\""text\"":\""pengertian data koleksi\""},{\""type\"":\""listItem\"",\""content\"":[{\""type\"":\""paragraph\"",\""attrs\"":{\""textAlign\"":null},\""content\"":[{\""type\"":\""text\"",\""text\"":\""jelaskna data yang dipakai\""},{\""type\"":\""listItem\"",\""content\"":[{\""type\"":\""paragraph\"",\""attrs\"":{\""textAlign\"":null},\""content\"":[{\""type\"":\""text\"",\""text\"":\""dari mana datanya\""},{\""type\"":\""listItem\"",\""content\"":[{\""type\"":\""paragraph\"",\""attrs\"":{\""textAlign\"":null},\""content\"":[{\""type\"":\""text\"",\""text\"":\""atributnya apa\""}]}]}]}]}]}]}]}]}""}]}]}",cmmbkprov00001kklmdhapbui,0,24,2026-04-08T03:13:09.295Z,2026-04-08T03:40:17.265Z
cmnpmk9410000vwklz14rf140,,5,"{""type"":""doc"",""content"":[{""type"":""paragraph"",""attrs"":{""textAlign"":null}}]}",cmm5v4a680000csklypek9mk9,0,25,2026-04-08T05:45:54.718Z,2026-04-08T05:46:00.883Z
cmnrjfke100004oklx23whsdj,,6,"{""type"":""doc"",""content"":[{""type"":""paragraph"",""attrs"":{""textAlign"":null}}]}",cmm5xyhxt0000nsklv2wsy9rn,0,26,2026-04-09T13:53:49.553Z,2026-04-09T13:53:56.935Z
cmnsd718y0000esklallmnwqo,LIngkaran,5,"{""type"":""doc"",""content"":[{""type"":""paragraph"",""attrs"":{""textAlign"":null}}]}",cmm5xyhxt0000nsklv2wsy9rn,0,27,2026-04-10T03:46:59.981Z,2026-04-10T03:47:04.947Z
cmnye6sj100004gkle2r8ga44,Text Mining (2),5,"{""type"":""doc"",""content"":[{""type"":""paragraph"",""attrs"":{""textAlign"":null},""content"":[{""type"":""text"",""text"":""{\""type\"":\""doc\"",\""content\"":[{\""type\"":\""paragraph\"",\""attrs\"":{\""textAlign\"":null},\""content\"":[{\""type\"":\""text\"",\""text\"":\""Text Mining merupakan pengumpulan data paling valid\""},{\""type\"":\""paragraph\"",\""attrs\"":{\""textAlign\"":null}}]}]}""}]}]}",cmm8ojctv0000zoklh0mss6v7,0,28,2026-04-14T09:01:25.349Z,2026-04-14T09:16:01.895Z
cmnzocydf00008kklhx7uz7p6,,6,,cmmbkprov00001kklmdhapbui,0,25,2026-04-15T06:33:55.201+00:00,2026-04-15T06:34:00.922+00:00
